Author	Title	Publisher	Shelf	Category	Subject
Mercier	Ethiopian Magic Scrolls	George Braziller	5	Art	Ethiopian
Bayle	A Fuller Understanding of the Paintings at Orsay	Artlys	5	Art	Europe
Cordaro et al	Giovanni Battista Piranesi and the Veduta of Rome and Venice in the First Half of the 18th Century	Fratelli Palombi	16	Art	European
Poortvliet	Gnomes	Abrams	35	Art	Fantasy
Awata (ed)	Inside Out with Gadget An art book for the new millennium	Fireside	16	Art	Fine art
Fergonzi et al	Rodin and Michelangelo A Study in Artistic Inspiration	Philadelphia Museum of Art	17	Art	Fine art
Smets	"The Roysl Museum of Fine Arts, Antwerp"	Ludion	17	Art	Fine art
van Soest	The Masterpieces Guide	Rijksmuseum	19	Art	Fine art
Herge	The Adventures of Tintin The Blue Lotus	Egmont	12	Art	Graphic Novel
Tagame	My Brother's Husband	Pantheon	2	Art	Graphic Novel
Tagame	My Brother's Husband V2	Pantheon	22	Art	Graphic Novel
Brunt et al	Art in Oceania A new history	Yale University Press	20	Art	History
Morris	Vulcan & His Times	Birmingham Historical Society	17	Art	History
Gorey	Amphigorey	Perigee	16	Art	Illustration
Gorey	Amphigorey Also	Harcourt Brace Jovanovich	16	Art	Illustration
Gorey	Amphigorey Too	Perigee	16	Art	Illustration
Hiroshige	One Hundred Famous Views of Edo	George Braziller	31	Art	Japanese
Kyoto National Museum	Export Laquer: Reflection of the West in Black and Gold Makie	Kyoto National Museum	12	Art	Japanese
Motohiko	Phantom Limb	Mori Art Museum	12	Art	Japanese
Tsujimura	"Masterpieces from the Mational Museum of Modern Art, Tokyo"	"National Museum of Modern Art, Tokyo"	12	Art	Japanese
Busuttil-César	Red	Assouline	19	Art	Modern
Christ and Dollens	New York Nomadic Design	Rizzoli International	26	Art	Modern
Hopkins	After Modern Art 1945 - 2000	Oxford	28	Art	Modern
Robinson	Monet to Dali Modern Masters from the Cleveland Museum o Art	Hudson Hills Press	26	Art	Modern
Schattschneider and Walker	M C Escher Kaleidocycles	Pomegranate Artbooks	19	Art	Modern
Webb	The Magic of Neon	Gibbs	25	Art	Modern
Jackson	Folding Techniques for Designers: From Sheet to Form (How to fold paper and other materials for design projects)	Laurence King Publishing	Reading	Art	Origami
Miyawaki	Pop-Up Origame	Biken-Sha	5	Art	Origami
Folio	The Folio Society Book of the 100 Greatest Paintings	Folio	6	Art	Painting
Folio	The Folio Society Book of the 100 Greatest Portraits	Folio	6	Art	Painting
Henestrosa	Martha Chapa Hacia Otro Paraiso	Alcazar	12	Art	Painting
Adams	Ansel Adams An Autobiography	"Little, Brown and Company"	16	Art	Photography
Becher	Water Towers	MIT Press	12	Art	Photography
Bello	Philippe Halsman A Retrospective	Bulfinch Press	31	Art	Photography
Carroll	Read This if you Want to Take Great Photographs	Laurence King	3	Art	Photography
Carroll	Read This if you Want to Take Great Photographs of People	Laurence King	3	Art	Photography
Clauden et al	In Transition Postwar Photography in Vancouver	Presentation House Galery	16	Art	Photography
Corkin	Photographs Annie Leibovitz 1970 - 1990	Jane Corkin Gallery	31	Art	Photography
DK	Digital Photohtaphy Complete Course	DK	37	Art	Photography
Dosien and Nigg	The Great Balloon Festival	Free Flight Press	31	Art	Photography
Garden	Nicholas Morant's Canada	Footprint	31	Art	Photography
Getty	The Seven Ages of Man	Getty	25	Art	Photography
Hamm	Dead Tech A Guide to the Archeology of Tomorrow	Sierra Club Books	12	Art	Photography
Harrison	Appearances Fashion Photography since 1945	Jonathan Cape	25	Art	Photography
Haworth-Booth (ed)	The Golden Age of British Photography 1839 - 1900	Aperture	25	Art	Photography
Leibovitz	Photographs Annie Leibovitz 1970 - 1990	Harper Collins	31	Art	Photography
Maloof	Vivian Maier Street Photographer	Powerhouse Books	12	Art	Photography
Meltzer	Photographing Your Craftwork A Hands-On Guide for Craftspeople	Madrona	26	Art	Photography
Peltason (ed)	Ernst Haas Color Photography	Abrams	25	Art	Photography
Revell	Canon EOS 7D Mark II From Snapshots to Great Shots	Peachpit Press	3	Art	Photography
Spira	The History of Photography As Seen Through The Spira Collection	Aperture	12	Art	Photography
Wendt	Lionel Wendt's Ceylon	Navrang	6	Art	Photography
William Collins	A Day in the Life of the Soviet Union	William Collins	31	Art	Photography
Wilson	Pop 64 pages in color	Monarch	2	Art	Pop
Crow	Nancy Crow	Breckling Press	Noguchi	Art	Quilting
Cowley	Spacecraft 2000 to 2100 AD	Chartwell	26	Art	SF
Stålenhag	Tales From the Loop	Skybound	Reading	Art	SF
Miller	"The Art of Space: The History of Space Art, from the Earliest Versions to the Graphics of the Modern Era"	Zenith	9	Art	Space Art
Draper	Stitch and Structure Design and Technique in 2- and 3-D textiles	Batsford	34	Art	Textiles
Small	Layered Cloth The Art of Fabric Manipulation	Search Press	34	Art	Textiles
Wellesley-Smith	Slow stitch mindful and contemplative textile art	Batsford	6	Art	Textiles
Izenour	Theater Design	McGraw Hill	25	Art	Theatre
Mielziner	The Shapes of Our Theatre	Clarkson N Potter	16	Art	Theatre
Perry	The Complete Phantom of the Opera	Henry Holt and Company	26	Art	Theatre
Elsen	Purposes of Art 4e	"Holt, Rinehard and Winston of Canada"	16	Art	Theory
MuHKA / Belkin	Intertidal Vancouver Art and Artists	MuHKA / Belkin	28	Art	Vancouver
O'Brian (ed)	Vancouver Art & Economies	Arsenal Pulp Press / Artspeak	28	Art	Vancouver
Presentation House	Unfinished Business Photographing Vancouver Streets 1955 - 1985	west coast line 47	28	Art	Vancouver
DeBrunhoff	Babar's Museum of Art	Abrams	6	Art	Whimsical
Hepburn	Me Stories of My Life	Alfred A Knopf	19	Biography	Autobiography
HingJian	Soul Mountain	Perennial	17	Biography	Autobiography
Isaacson	Leonardo da Vinci	Simon & Schuster	21	Biography	Biography
Prud'homme	Julia Child My Life in France	Anchor	10	Biography	Biography
Pearson	The Private Lives of Winston Churchill	Viking	28	Biography	Political
Vance	"Elon Musk Tesla, Space X, and the Quest for a Fantastic Future"	Ecco	3	Biography	Scions of America
Darley	John Soane An Accidental Romantic	Yale	5	Biography	Scions of Science and Reason
Suzuki	David Suzuki The Autobiography	Greystone	5	Biography	Scions of Science and Reason
Marzluff	In The Company of Crows and Ravens	Yale	5	Biology	Ornithology
Young	What the Robin Knows	Mariner	Island	Biology	Ornithology
Cox et al	The Sinmon & Schuster Encyclopedia of Dinosaurs & Prehistoric Creatures	Simon & Schuster	25	Biology	Zoology
McAllister	The Last Wild Wolves Ghosts of the Great Bear Rainforest	Greystone	31	Biology	Zoology
Schafer	Penguin Planet	NorthWord Press	25	Biology	Zoology
Whitfield	The Simon & Schuster Encyclopedia of Animals	Simon & Schuster	25	Biology	Zoology
Trojanowska (ed) et al	New Perspectives on Polish Culture	PIASA Books	28	Civilization	Polish
Newman	Speaking in Cod Tongues: A Canadian Culinary Journey	University of Regina Press	35	Cooking	Canadian
Aiga	Graphic Design US 9 The Annual of the American Institute of Graphic Arts	Watson Guptill	6	Design	Graphic Design
Baker	Great inventions good intentions	Chronicle Books	26	Design	History
"Lee, Kai-Fu"	"AI Superpowers. China, Silicon Valley, and the New World Order"	Houghton Mifflin Harcourt	37	Economics	Artificial Intelligence
Lipsey et al	Economics 4e	Harper & Row	38	Economics	Economics
Dornbusch et al	Macroeconomics 4e	McGraw Hill	38	Economics	Macroeconomics
Frank	Microeconomics and behaviour 2e	McGraw Hill	38	Economics	Microeconomics
McPherson and Timms	The Audio-Visual Handbook	Watson-Guptill Publications	19	Engineering	Audio-visual
De la Rosa and Kolin	"Understanding, Maintaining, and Riding the Ten-Speed Bicycle"	Rosale Press	16	Engineering	Bicycle repair
Henderson	The Haynes Bicycle Book	Haynes Publishing	19	Engineering	Bicycle repair
Coker	Roller Coaster A Thrill Seeker's Guide to the Ultimate Scream Machines	Barnes & Noble	31	Engineering	Engineering
French and Vierck	Engineering Drawing & Graphing Technology 12e	McGraw Hill	26	Engineering	Engineering
Koff	How Does it Work?	Bonanza	16	Engineering	Engineering
National Geographic	The Builders Marvels of Engineering	National Geographic Society	6	Engineering	Engineering
Le carré	The Russia House	Penguin	18	Fiction	Action
Allen	Without feathers	Warner Books	29	Fiction	American
Greene	The Power and the Glory	Penguin	13	Fiction	American
Irving	The World According to Garp	Dutton	18	Fiction	American
Kidder	The Soul of a New Machine	Avon	18	Fiction	American
Ko	The Leavers	Algonquin Books of Chapel Hill	Reading	Fiction	American
McInerney	Story of my life	McClelland and Stewart	18	Fiction	American
Tyler	The Accidental Tourist	Penguin	10	Fiction	American
Ondaatje	Anil's Ghost	Vintage	2	Fiction	Canadian
Taylor	Stanley Park	Vintage	18	Fiction	Canadian
Coupland	Generation X	St Martin's Press	Island	Fiction	Canadian
Gorey	The Gashleycrumb Tinies	Harcourt Brace & Co	18	Fiction	Cartoon
Barrie	Peter Pan	Grosset and Dunlap	19	Fiction	Children
Fletcher et al	Walt Disney's Treasury 21 Best-Loved Stores	Golden Press	31	Fiction	Children
Hoff	Sammy the Seal	Harper & Row	14	Fiction	Children
Townsend	The Growing Pains of Adrian Mole	Metheun	2	Fiction	Children
Townsend	The Secret Diary of Adrian Mole aged 13 3/4	Metheun	2	Fiction	Children
Gibson	Burning Chrome	Ace	18	Fiction	Cyberpunk
Gibson	Neuromancer	Ace	30	Fiction	Cyberpunk
Gibson	Neuromancer	Ace	30	Fiction	Cyberpunk
Gibson	Pattern Recognition	Putnam	2	Fiction	Cyberpunk
Auel	The Clan of the Cave Bear	Bantam	14	Fiction	English
Auel	The Valley of Horses	Bantam	14	Fiction	English
Brown	Angels and Demons	Pocket	5	Fiction	English
Brown	The DaVinci Code	Anchor	14	Fiction	English
Crowley	"Little, Big"	Bantam	17	Fiction	English
Wyndham	Chocky	Penguin	14	Fiction	English
Cooper	Greenwith	Macmillan	14	Fiction	Fantasy
Cooper	Silver on the Tree	Macmillan	14	Fiction	Fantasy
Cooper	The Dark is Rising	Macmillan	14	Fiction	Fantasy
Cooper	The Grey King	Macmillan	14	Fiction	Fantasy
Eddings	Belgarath the Sorcerer		34	Fiction	Fantasy
Eddings	Castle of Wizardry		34	Fiction	Fantasy
Eddings	Demon Lord of Karanda		34	Fiction	Fantasy
Eddings	Enchanter's End Game		34	Fiction	Fantasy
Eddings	Guardians of the West		34	Fiction	Fantasy
Eddings	King of the Murgos		34	Fiction	Fantasy
Eddings	Magician's Gambit		34	Fiction	Fantasy
Eddings	Pawn of Prophecy		34	Fiction	Fantasy
Eddings	Queen of Sorcery		34	Fiction	Fantasy
Eddings	The Seeress of Kell		34	Fiction	Fantasy
Eddings	The Sorceress of Darshiva		34	Fiction	Fantasy
Graham	Black Ships	Orbit	13	Fiction	Fantasy
Hardy	Secret of the Sixth Magic	Del Rey	14	Fiction	Fantasy
Martin	A Clash of Kings (2)	Bantam	36	Fiction	Fantasy
Martin	A Dance with Dragons	Bantam	35	Fiction	Fantasy
Martin	A Feast for Crows (4)	Bantam	36	Fiction	Fantasy
Martin	A Game of Thrones (1)	Bantam	10	Fiction	Fantasy
Martin	A Storm of Swords (3)	Bantam	36	Fiction	Fantasy
Melling	The Druid's Tune	Puffin	30	Fiction	Fantasy
Rawn	Dragon Prince	Daw	11	Fiction	Fantasy
Rice	Interview with the Vampire	Ballantine	13	Fiction	Fantasy
Rice	Memnoch the Devil	Ballantine	13	Fiction	Fantasy
Rice	The Mummy or Ramses the Damned	Ballantine	13	Fiction	Fantasy
Rice	The Queen of the Damned	Ballantine	13	Fiction	Fantasy
Rice	The Tale of the Body Thief	Ballantine	13	Fiction	Fantasy
Rice	The Vampire Lestat	Ballantine	13	Fiction	Fantasy
Weis and Hickman	Dragon Wing		34	Fiction	Fantasy
Weis and Hickman	Dragonlance The Annotated Chronicles	TSR	24	Fiction	Fantasy
Weis and Hickman	Elven Star		34	Fiction	Fantasy
Weis and Hickman	Fire Sea		34	Fiction	Fantasy
Weis and Hickman	Into the Labyrinth		34	Fiction	Fantasy
Weis and Hickman	Serpent Mage		34	Fiction	Fantasy
Weis and Hickman	The Darksword Trilogy Volume 1 Forging the Darksword	Bantam	30	Fiction	Fantasy
Weis and Hickman	The Darksword Trilogy Volume 2 Doom of the Darksword	Bantam	30	Fiction	Fantasy
Weis and Hickman	The Darksword Trilogy Volume 3 Triumph of the Darksword	Bantam	30	Fiction	Fantasy
Weis and Hickman	The Hand of Chaos		34	Fiction	Fantasy
Weis and Hickman	The Seventh Gate		34	Fiction	Fantasy
Wrede	The Enchanted Forest Chronicles	SFBC	30	Fiction	Fantasy
Zimmer Bradley	Thunderlord	Daw	3	Fiction	Fantasy
Auel	The Land of Painted Caves	Bantam	35	Fiction	Historical
Auel	The Mammoth Hunters	Bantam	18	Fiction	Historical
Auel	The Plains of Passage	Bantam	18	Fiction	Historical
Michener	Poland	Fawcett Crest	2	Fiction	Historical
Plato	The Siege of Fort Erie 1814 The Destroyer	E N Plato Historical Publishing	16	Fiction	Historical
King and Straub	The Talisman	Viking	19	Fiction	Horror
Herriot	If Only They Could Talk	Pan	2	Fiction	Humour
Herriot	It Shouldn't Happen to a Vet Copy 1	Pan	2	Fiction	Humour
Herriot	It Shouldn't Happen to a Vet Copy 2	Pan	2	Fiction	Humour
Pyle	Strange Planet	Morrow Gift	Island	Fiction	Humour
Pyle	Stranger Planet	Morrow Gift	Island	Fiction	Humour
Cantor	Krazy Kat	Collier Fiction	18	Fiction	Popular
Carr	The Alienist	Random House	Island	Fiction	Popular
Carr	The Angel of Darkness	Random House	28	Fiction	Popular
Le Carré	Our Game	Knopf	36	Fiction	Popular
Abramson	Galaxy Science Fiction Magazine July 1976	Abramson	18	Fiction	SF
Abramson	Galaxy Science Fiction Magazine Number 12	Abramson	18	Fiction	SF
Abramson	Galaxy Science Fiction Magazine Number 6	Abramson	18	Fiction	SF
Adams	Dirk Gently's Holistic Detective Agency	Pan	19	Fiction	SF
Adams	The Restaurant at the End of the Universe	Pan	19	Fiction	SF
Allen	Asimov's Inferno		38	Fiction	SF
Allen	Asimov's Utopia		38	Fiction	SF
Allen	Isaac Asimov's Caliban	Ace	38	Fiction	SF
Anderson	Starfarers	Tor	24	Fiction	SF
Anderson	Twilight World	Tor	11	Fiction	SF
Asimov	Forward the Foundation		38	Fiction	SF
Asimov	Foundation		38	Fiction	SF
Asimov	Foundation and Earth		38	Fiction	SF
Asimov	Foundation and Empire		38	Fiction	SF
Asimov	Foundation's Edge		38	Fiction	SF
Asimov	Foundation's Edge		38	Fiction	SF
Asimov	"I, Robot"		38	Fiction	SF
Asimov	Pebble in the Sky		38	Fiction	SF
Asimov	Prelude to Foundation		38	Fiction	SF
Asimov	Robot Visions		38	Fiction	SF
Asimov	Robots and Empire		38	Fiction	SF
Asimov	Second Foundation		38	Fiction	SF
Asimov	The Caves of Steel		38	Fiction	SF
Asimov	The Caves of Steel		38	Fiction	SF
Asimov	The Currents of Space		38	Fiction	SF
Asimov	The Gods Themselves		38	Fiction	SF
Asimov	The Naked Sun		38	Fiction	SF
Asimov	The Rest of the Robots		38	Fiction	SF
Asimov	The Robots of Dawn		38	Fiction	SF
Asimov	The Robots of Dawn		38	Fiction	SF
Asimov	"The Stars, Like Dust"		38	Fiction	SF
Asimov (ed) et al	Isaac Asimov Presents The Greatest SF Stories 13 (1951)	Daw	13	Fiction	SF
Asimov (ed) et al	Starships Stories Beyond the Boundaries of the Universe	Fawcett	13	Fiction	SF
Avon	The Science Fiction Hall of Fame Volume I	Avon	11	Fiction	SF
Avon	The Science Fiction Hall of Fame Volume Iia	Avon	11	Fiction	SF
Avon	The Science Fiction Hall of Fame Volume Iib	Avon	11	Fiction	SF
Barker	Imajica	Perennial	37	Fiction	SF
Bear	Darwin's Children	Del Rey	Island	Fiction	SF
Bear	Eon	Tor	15	Fiction	SF
Bear	Eternity	Aspect	14	Fiction	SF
Bear	Foundation and Chaos		38	Fiction	SF
Beattlie	Distortions	Warner Books	14	Fiction	SF
Benford	Deeper Than Darkness	Ace	14	Fiction	SF
Benford	Foundation's Fear		38	Fiction	SF
Biggle	Monument	Bantam	14	Fiction	SF
Blish	Anywhen	Avon	14	Fiction	SF
Blish	Cities in Flight	Avon	14	Fiction	SF
Bonanno	Star Trek Strangers from the Sky	Pocket Books	30	Fiction	SF
Bova	Apes and angels	Tor	36	Fiction	SF
Bova and Pogue	The Trikon Deception	Tor	14	Fiction	SF
Brin	Brightness Reef		33	Fiction	SF
Brin	Earth		38	Fiction	SF
Brin	Earthclan (Startide Rising and The Uplift War)		33	Fiction	SF
Brin	Foundation's Triumph		38	Fiction	SF
Brin	Heaven's Reach		33	Fiction	SF
Brin	Infinity's Shore		33	Fiction	SF
Brin	Sundiver		33	Fiction	SF
Brooks	World War Z	Broadway	13	Fiction	SF
Brown	Cosmopath	Solaris	19	Fiction	SF
Brown	Helix	Solaris	15	Fiction	SF
Brown	Kethani	Solaris	14	Fiction	SF
Brown	Necropath	Solaris	19	Fiction	SF
Brown	Xenopath	Solaris	14	Fiction	SF
Brunner	Manshape	Daw	18	Fiction	SF
Brunner	The Crucible of Time	Del Rey	18	Fiction	SF
Campbell	Islands of Space	Ace	15	Fiction	SF
Campbell	The Black Star Passes	Cosmos	15	Fiction	SF
Card	Ender's Gae	Tor	15	Fiction	SF
Carr	Killing Time	Warner Books	13	Fiction	SF
Chalker	Quest for the Well of Souls	Del Rey	15	Fiction	SF
Chalker	The Return of Nathan Brazil Volume 4 of the Saga of the Well World	Del Rey	15	Fiction	SF
Chalker	Twilight at the Well of Souls The Legacy of Nathan Brazil V5 of the Saga of the Well World	Del Rey	18	Fiction	SF
Clarke	2001 A Sapce Odyssey	Signet	15	Fiction	SF
Clarke	2010: Odyssey Two	Del Rey	15	Fiction	SF
Clarke	2061: Odyssey Three	Del Rey	15	Fiction	SF
Clarke	Against the Fall of Night	Berkley	14	Fiction	SF
Clarke	Childhood's End	Ballantine	14	Fiction	SF
Clarke	Ghost from the Grand Banks	Bantam	14	Fiction	SF
Clarke	Prelude to Space	Del Rey	14	Fiction	SF
Clarke	Rendezvous with Rama	Del Rey	19	Fiction	SF
Clarke	Tales of Ten Worlds	Signet	14	Fiction	SF
Clarke	The Best of Arthur C Clarke 1937-1955	Sphere	14	Fiction	SF
Clarke and Baxter	The Light of Other Days	Tor	14	Fiction	SF
Clarke and Lee	Garden of Rama Sequel to Rama II	Bantam	15	Fiction	SF
